document_id,document_type,identifier,title,date,url,exclusion_reason
15792,proclamation,7423,jewish heritage week 2001,"April 09, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7423-jewish-heritage-week-2001,public_commemoration
15793,proclamation,7424,national crime victims rights week 2001,"April 09, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7424-national-crime-victims-rights-week-2001,observance_designation
15794,proclamation,7422,national organ and tissue donor awareness week 2001,"April 04, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7422-national-organ-and-tissue-donor-awareness-week-2001,observance_designation
15795,proclamation,7420,pan american day and pan american week 2001,"April 02, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7420-pan-american-day-and-pan-american-week-2001,public_commemoration
15798,proclamation,7419,national child abuse prevention month 2001,"March 28, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7419-national-child-abuse-prevention-month-2001,observance_designation
15799,proclamation,7417,education and sharing day usa 2001,"March 22, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7417-education-and-sharing-day-usa-2001,observance_designation
15800,proclamation,7416,national girl scout week 2001,"March 16, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7416-national-girl-scout-week-2001,observance_designation
15801,proclamation,7415,national colorectal cancer awareness month 2001,"March 08, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7415-national-colorectal-cancer-awareness-month-2001,observance_designation
15803,proclamation,7414,greek independence day national day celebration greek and american,"March 05, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7414-greek-independence-day-national-day-celebration-greek-and-american,public_commemoration
15804,proclamation,7412,national poison prevention week 2001,"March 02, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7412-national-poison-prevention-week-2001,public_commemoration
15805,proclamation,7411,womens history month 2001,"March 01, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7411-womens-history-month-2001,public_commemoration
15806,proclamation,7410,fortieth anniversary the peace corps,"February 28, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7410-fortieth-anniversary-the-peace-corps,public_commemoration
15807,proclamation,7408,american red cross month 2001,"February 26, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7408-american-red-cross-month-2001,observance_designation
15808,proclamation,7409,irish american heritage month 2001,"February 26, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7409-irish-american-heritage-month-2001,public_commemoration
15811,proclamation,7405,national consumer protection week,"February 05, 2001",https://www.presidency.ucsb.edu/documents/proclamation-7405-national-consumer-protection-week,observance_designation
15829,proclamation,7387,wright brothers day 2000,"December 14, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7387-wright-brothers-day-2000,observance_designation
15830,proclamation,7386,human rights day bill rights day and human rights week 2000,"December 09, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7386-human-rights-day-bill-rights-day-and-human-rights-week-2000,public_commemoration
15831,proclamation,7385,national pearl harbor remembrance day 2000,"December 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7385-national-pearl-harbor-remembrance-day-2000,memorial_half_staff
15832,proclamation,7384,national drunk and drugged driving prevention month 2000,"December 04, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7384-national-drunk-and-drugged-driving-prevention-month-2000,observance_designation
15834,proclamation,7382,world aids day 2000,"November 30, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7382-world-aids-day-2000,observance_designation
15835,proclamation,7381,thanksgiving day 2000,"November 17, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7381-thanksgiving-day-2000,observance_designation
15836,proclamation,7380,national family week 2000,"November 17, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7380-national-family-week-2000,observance_designation
15837,proclamation,7379,national farm city week 2000,"November 16, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7379-national-farm-city-week-2000,observance_designation
15838,proclamation,7378,national great american smokeout day 2000,"November 15, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7378-national-great-american-smokeout-day-2000,observance_designation
15839,proclamation,7377,america recycles day 2000,"November 15, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7377-america-recycles-day-2000,public_commemoration
15840,proclamation,7376,international education week 2000,"November 13, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7376-international-education-week-2000,public_commemoration
15844,proclamation,7372,national american indian heritage month 2000,"November 08, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7372-national-american-indian-heritage-month-2000,public_commemoration
15849,proclamation,7364,amending proclamation 7362 display the flag half staff mark respect for,"October 16, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7364-amending-proclamation-7362-display-the-flag-half-staff-mark-respect-for,memorial_half_staff
15852,proclamation,7367,white cane safety day 2000,"October 14, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7367-white-cane-safety-day-2000,public_commemoration
15853,proclamation,7362,death american servicemembers aboard the united states ship cole,"October 12, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7362-death-american-servicemembers-aboard-the-united-states-ship-cole,memorial_half_staff
15854,proclamation,7363,100th anniversary the us navy submarine force 2000,"October 12, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7363-100th-anniversary-the-us-navy-submarine-force-2000,public_commemoration
15855,proclamation,7361,general pulaski memorial day 2000,"October 10, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7361-general-pulaski-memorial-day-2000,observance_designation
15859,proclamation,7357,columbus day 2000,"October 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7357-columbus-day-2000,public_commemoration
15860,proclamation,7355,national school lunch week 2000,"October 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7355-national-school-lunch-week-2000,observance_designation
15861,proclamation,7356,national childrens day 2000,"October 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7356-national-childrens-day-2000,observance_designation
15862,proclamation,7354,fire prevention week 2000,"October 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7354-fire-prevention-week-2000,observance_designation
15863,proclamation,7358,leif erikson day 2000,"October 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7358-leif-erikson-day-2000,public_commemoration
15864,proclamation,7352,german american day 2000,"October 05, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7352-german-american-day-2000,observance_designation
15867,proclamation,7349,child health day 2000,"September 29, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7349-child-health-day-2000,observance_designation
15868,proclamation,7346,national breast cancer awareness month 2000,"September 29, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7346-national-breast-cancer-awareness-month-2000,observance_designation
15869,proclamation,7348,national domestic violence awareness month 2000,"September 29, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7348-national-domestic-violence-awareness-month-2000,observance_designation
15874,proclamation,7341,national farm safety and health week 2000,"September 15, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7341-national-farm-safety-and-health-week-2000,observance_designation
15875,proclamation,7342,ovarian cancer awareness week 2000,"September 15, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7342-ovarian-cancer-awareness-week-2000,observance_designation
15876,proclamation,7338,national hispanic heritage month 2000,"September 14, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7338-national-hispanic-heritage-month-2000,public_commemoration
15879,proclamation,7337,health aging month 2000,"September 05, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7337-health-aging-month-2000,observance_designation
15882,proclamation,7334,womens equality day 2000,"August 26, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7334-womens-equality-day-2000,observance_designation
15883,proclamation,7333,minority enterprise development week 2000,"August 24, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7333-minority-enterprise-development-week-2000,observance_designation
15884,proclamation,7332,helsinki human rights day 2000,"August 01, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7332-helsinki-human-rights-day-2000,observance_designation
15889,proclamation,7327,spirit the ada month 2000,"July 01, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7327-spirit-the-ada-month-2000,observance_designation
15892,proclamation,7324,50th anniversary the korean war and national korean war veterans,"June 23, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7324-50th-anniversary-the-korean-war-and-national-korean-war-veterans,memorial_half_staff
15893,proclamation,7323,fathers day 2000,"June 16, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7323-fathers-day-2000,observance_designation
15894,proclamation,7322,225th anniversary the united states army,"June 13, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7322-225th-anniversary-the-united-states-army,public_commemoration
15899,proclamation,7321,flag day and national flag week 2000,"June 09, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7321-flag-day-and-national-flag-week-2000,public_commemoration
15900,proclamation,7316,gay and lesbian pride month 2000,"June 02, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7316-gay-and-lesbian-pride-month-2000,observance_designation
15901,proclamation,7315,prayer for peace memorial day 2000,"May 26, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7315-prayer-for-peace-memorial-day-2000,memorial_half_staff
15903,proclamation,7313,day honor 2000,"May 24, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7313-day-honor-2000,public_commemoration
15904,proclamation,7312,national maritime day 2000,"May 22, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7312-national-maritime-day-2000,public_commemoration
15906,proclamation,7311,small business week 2000,"May 19, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7311-small-business-week-2000,observance_designation
15907,proclamation,7309,national safe boating week 2000,"May 18, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7309-national-safe-boating-week-2000,observance_designation
15908,proclamation,7308,national defense transportation day and national transportation week,"May 15, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7308-national-defense-transportation-day-and-national-transportation-week,public_commemoration
15909,proclamation,7306,national equal pay day 2000,"May 11, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7306-national-equal-pay-day-2000,observance_designation
15910,proclamation,7307,peace officers memorial day and police week 2000,"May 11, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7307-peace-officers-memorial-day-and-police-week-2000,memorial_half_staff
15911,proclamation,7305,mothers day 2000,"May 10, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7305-mothers-day-2000,public_commemoration
15912,proclamation,7304,global science and technology week 2000,"May 05, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7304-global-science-and-technology-week-2000,observance_designation
15913,proclamation,7303,national day prayer 2000,"May 04, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7303-national-day-prayer-2000,observance_designation
15914,proclamation,7302,jewish heritage week 2000,"May 02, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7302-jewish-heritage-week-2000,public_commemoration
15915,proclamation,7301,older americans month 2000,"May 02, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7301-older-americans-month-2000,observance_designation
15916,proclamation,7299,asianpacific american heritage month 2000,"April 29, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7299-asianpacific-american-heritage-month-2000,public_commemoration
15917,proclamation,7300,loyalty day 2000,"April 29, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7300-loyalty-day-2000,public_commemoration
15918,proclamation,7298,law day usa 2000,"April 28, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7298-law-day-usa-2000,public_commemoration
15919,proclamation,7297,national charter schools week 2000,"April 28, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7297-national-charter-schools-week-2000,observance_designation
15922,proclamation,7294,national recall round day 2000,"April 14, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7294-national-recall-round-day-2000,public_commemoration
15926,proclamation,7290,national crime victims rights week 2000,"April 10, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7290-national-crime-victims-rights-week-2000,observance_designation
15927,proclamation,7288,pan american day and pan american week 2000,"April 08, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7288-pan-american-day-and-pan-american-week-2000,observance_designation
15928,proclamation,7289,national former prisoner war recognition day 2000,"April 08, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7289-national-former-prisoner-war-recognition-day-2000,public_commemoration
15931,proclamation,7284,cancer control month 2000,"March 31, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7284-cancer-control-month-2000,observance_designation
15932,proclamation,7285,national child abuse prevention month 2000,"March 31, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7285-national-child-abuse-prevention-month-2000,public_commemoration
15933,proclamation,7283,greek independence day national day celebration greek and american,"March 24, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7283-greek-independence-day-national-day-celebration-greek-and-american,public_commemoration
15934,proclamation,7282,education and sharing day usa 2000,"March 24, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7282-education-and-sharing-day-usa-2000,observance_designation
15935,proclamation,7281,national poison prevention week 2000,"March 17, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7281-national-poison-prevention-week-2000,public_commemoration
15936,proclamation,7280,save your vision week 2000,"March 06, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7280-save-your-vision-week-2000,observance_designation
15937,proclamation,7279,irish american heritage month 2000,"March 01, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7279-irish-american-heritage-month-2000,public_commemoration
15938,proclamation,7276,national colorectal cancer awareness month 2000,"February 29, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7276-national-colorectal-cancer-awareness-month-2000,observance_designation
15944,proclamation,7272,national consumer protection week 2000,"February 11, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7272-national-consumer-protection-week-2000,observance_designation
15945,proclamation,7271,american heart month 2000,"February 01, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7271-american-heart-month-2000,observance_designation
15946,proclamation,7270,national african american history month 2000,"January 31, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7270-national-african-american-history-month-2000,observance_designation
15947,proclamation,7269,national biotechnology month 2000,"January 19, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7269-national-biotechnology-month-2000,public_commemoration
15948,proclamation,7267,religious freedom day 2000,"January 14, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7267-religious-freedom-day-2000,public_commemoration
15949,proclamation,7268,martin luther king jr federal holiday 2000,"January 14, 2000",https://www.presidency.ucsb.edu/documents/proclamation-7268-martin-luther-king-jr-federal-holiday-2000,public_commemoration
15954,proclamation,7262,wright brothers day 1999,"December 16, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7262-wright-brothers-day-1999,observance_designation
15955,proclamation,7261,55th anniversary the battle the bulge,"December 16, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7261-55th-anniversary-the-battle-the-bulge,public_commemoration
15956,proclamation,7260,bicentennial commemoration the death george washington,"December 13, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7260-bicentennial-commemoration-the-death-george-washington,memorial_half_staff
15957,proclamation,7259,national pearl harbor remembrance day 1999,"December 07, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7259-national-pearl-harbor-remembrance-day-1999,memorial_half_staff
15958,proclamation,7258,human rights day bill rights day and human rights week 1999,"December 06, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7258-human-rights-day-bill-rights-day-and-human-rights-week-1999,public_commemoration
15959,proclamation,7257,national drunk and drugged driving prevention month 1999,"November 30, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7257-national-drunk-and-drugged-driving-prevention-month-1999,observance_designation
15960,proclamation,7256,world aids day 1999,"November 29, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7256-world-aids-day-1999,observance_designation
15961,proclamation,7255,thanksgiving day 1999,"November 20, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7255-thanksgiving-day-1999,observance_designation
15962,proclamation,7253,national family week 1999,"November 19, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7253-national-family-week-1999,observance_designation
15963,proclamation,7254,national family caregivers week 1999,"November 19, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7254-national-family-caregivers-week-1999,observance_designation
15964,proclamation,7251,national great american smokeout day 1999,"November 18, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7251-national-great-american-smokeout-day-1999,observance_designation
15968,proclamation,7248,veterans day 1999,"November 08, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7248-veterans-day-1999,public_commemoration
15971,proclamation,7245,national adoption month 1999,"October 28, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7245-national-adoption-month-1999,public_commemoration
15972,proclamation,7244,united nations day 1999,"October 22, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7244-united-nations-day-1999,observance_designation
15973,proclamation,7243,national day concern about young people and gun violence 1999,"October 21, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7243-national-day-concern-about-young-people-and-gun-violence-1999,observance_designation
15974,proclamation,7242,national character counts week 1999,"October 16, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7242-national-character-counts-week-1999,public_commemoration
15975,proclamation,7240,white cane safety day 1999,"October 15, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7240-white-cane-safety-day-1999,public_commemoration
15976,proclamation,7241,national forest products week 1999,"October 15, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7241-national-forest-products-week-1999,public_commemoration
15977,proclamation,7236,leif erikson day 1999,"October 08, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7236-leif-erikson-day-1999,observance_designation
15978,proclamation,7237,national school lunch week 1999,"October 08, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7237-national-school-lunch-week-1999,observance_designation
15982,proclamation,7234,general pulaski memorial day 1999,"October 06, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7234-general-pulaski-memorial-day-1999,observance_designation
15983,proclamation,7233,german american day 1999,"October 05, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7233-german-american-day-1999,observance_designation
15984,proclamation,7232,child health day 1999,"October 01, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7232-child-health-day-1999,observance_designation
15985,proclamation,7231,fire prevention week 1999,"October 01, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7231-fire-prevention-week-1999,observance_designation
15986,proclamation,7228,national breast cancer awareness month 1999,"September 30, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7228-national-breast-cancer-awareness-month-1999,observance_designation
15987,proclamation,7229,national disability employment awareness month 1999,"September 30, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7229-national-disability-employment-awareness-month-1999,observance_designation
15988,proclamation,7230,national domestic violence awareness month 1999,"September 30, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7230-national-domestic-violence-awareness-month-1999,observance_designation
15989,proclamation,7227,100th anniversary the veterans foreign wars,"September 29, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7227-100th-anniversary-the-veterans-foreign-wars,public_commemoration
15990,proclamation,7226,gold star mothers day 1999,"September 24, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7226-gold-star-mothers-day-1999,observance_designation
15993,proclamation,7225,national historically black colleges and universities week 1999,"September 17, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7225-national-historically-black-colleges-and-universities-week-1999,public_commemoration
