channel,accepted_candidates,rank_available,recall_at_1,recall_at_5,recall_at_10,recall_at_25,mean_reciprocal_rank,interpretation
word5,99,99,0.6565656565656566,0.8484848484848485,0.898989898989899,0.9494949494949495,0.7441940595389073,retrieval_of_sol_accepted_silver_parent_not_ground_truth_accuracy
word10,99,99,0.6565656565656566,0.8080808080808081,0.8484848484848485,0.898989898989899,0.7287989006371525,retrieval_of_sol_accepted_silver_parent_not_ground_truth_accuracy
bm25,99,99,0.5959595959595959,0.8585858585858586,0.9090909090909091,0.9595959595959596,0.6981671894292886,retrieval_of_sol_accepted_silver_parent_not_ground_truth_accuracy
function,99,94,0.35353535353535354,0.6060606060606061,0.696969696969697,0.7878787878787878,0.4679900746327911,retrieval_of_sol_accepted_silver_parent_not_ground_truth_accuracy
