case_id,child_id,assigned_family,all_child_families,candidate_label,parent_id,retrieval_sources,word5_score,word10_score,bm25_score,function_score,word5_rank,word10_rank,bm25_rank,function_rank
SHC001,693,ieepa_action,ieepa_action|property_blocking,C01,755,bm25|word10|word5,0.48226287961006165,0.41044339537620544,659.8555911370427,0.7449638843536377,1,1,1,18
SHC001,693,ieepa_action,ieepa_action|property_blocking,C02,756,bm25|word10|word5,0.4333029091358185,0.3893584609031677,636.4866523154224,0.7952365875244141,5,5,4,7
SHC001,693,ieepa_action,ieepa_action|property_blocking,C03,707,bm25|function|word10|word5,0.46798259019851685,0.3940081298351288,653.1007109880547,0.802104115486145,3,4,2,4
SHC001,693,ieepa_action,ieepa_action|property_blocking,C04,703,same_family_recent,0.3345074951648712,0.23910504579544067,488.87796446693454,0.7199092507362366,17,23,35,29
SHC001,693,ieepa_action,ieepa_action|property_blocking,C05,752,bm25|function|word10|word5,0.4753345251083374,0.40171441435813904,647.6628556317504,0.8052313923835754,2,2,3,3
SHC001,693,ieepa_action,ieepa_action|property_blocking,C06,697,same_family_recent,0.40589839220046997,0.334604412317276,569.8148811991744,0.7975494861602783,10,11,12,6
SHC001,693,ieepa_action,ieepa_action|property_blocking,C07,758,function,0.4216661751270294,0.3741700351238251,620.1113809179661,0.8311213254928589,6,6,6,1
SHC001,693,ieepa_action,ieepa_action|property_blocking,C08,759,bm25|function|word10|word5,0.4578668773174286,0.39903780817985535,635.0633327830335,0.8213162422180176,4,3,5,2
SHC001,693,ieepa_action,ieepa_action|property_blocking,C09,725,function,0.4195403456687927,0.35000354051589966,579.0357188620301,0.7981576919555664,7,9,10,5
SHC002,222,ieepa_action,ieepa_action,C01,225,bm25|same_family_recent|word5,0.10391966253519058,0.04943550378084183,275.88149139663267,0.5619791746139526,3,14,3,6
SHC002,222,ieepa_action,ieepa_action,C02,233,word10|word5,0.08892004191875458,0.06641349196434021,132.44537057129017,0.43045198917388916,4,1,142,3673
SHC002,222,ieepa_action,ieepa_action,C03,227,word10,0.07699811458587646,0.06283597648143768,140.1601864000415,0.4054669141769409,12,2,92,5232
SHC002,222,ieepa_action,ieepa_action,C04,240,word10,0.08102939277887344,0.061341915279626846,121.7361427715311,0.4828510880470276,8,5,237,1071
SHC002,222,ieepa_action,ieepa_action,C05,252,function|word5,0.08631774038076401,0.053408559411764145,165.90473109160328,0.5783501267433167,5,9,17,3
SHC002,222,ieepa_action,ieepa_action,C06,12136,bm25,0.061715345829725266,0.020222127437591553,187.85528941894677,0.5302828550338745,33,43,5,79
SHC002,222,ieepa_action,ieepa_action,C07,236,word10,0.0808100625872612,0.06283597648143768,129.67654132736845,0.4951556622982025,9,4,159,654
SHC002,222,ieepa_action,ieepa_action,C08,18475,function,0.0,0.0,101.39936956219138,0.5922238230705261,12511,12410,668,2
SHC002,222,ieepa_action,ieepa_action,C09,224,bm25|function|same_family_recent|word5,0.11626189947128296,0.04943550378084183,310.84614909456906,0.5660494565963745,2,13,2,4
SHC002,222,ieepa_action,ieepa_action,C10,12098,bm25,0.061715345829725266,0.020222127437591553,191.27620623004233,0.5294718742370605,32,42,4,83
SHC002,222,ieepa_action,ieepa_action,C11,226,bm25|function|word5,0.14065037667751312,0.057634469121694565,322.4173029695837,0.6260214447975159,1,8,1,1
SHC002,222,ieepa_action,ieepa_action,C12,17450,function,0.006984677631407976,0.0,144.1290662563321,0.5634689331054688,634,12311,75,5
SHC002,222,ieepa_action,ieepa_action,C13,235,word10,0.08480536937713623,0.06283597648143768,144.41873157436441,0.45993608236312866,6,3,74,2026
SHC003,4859,ieepa_action,ieepa_action,C01,9351,word10|word5,0.06956174969673157,0.04584084823727608,211.22584250758746,0.48416733741760254,5,4,44,2442
SHC003,4859,ieepa_action,ieepa_action,C02,703,bm25|word5,0.07590581476688385,0.012919620610773563,325.24342593662965,0.5632429718971252,4,27,4,347
