document_id,document_type,date,operative_segment_count,status,canonical_profile,request_stage,prior_profile_rows,validation_error_count
7977,letter,"November 18, 1958",2,reused,true,,1,0
7987,letter,"August 30, 1958",1,reused,true,,2,0
7993,letter,"August 01, 1958",2,repaired,true,,0,0
7996,letter,"July 25, 1958",2,repaired,true,,0,0
7998,letter,"July 14, 1958",1,reused,true,,1,0
8010,letter,"June 10, 1958",1,repaired,true,,0,0
8012,letter,"May 28, 1958",1,reused,true,,1,0
8015,letter,"May 16, 1958",1,reused,true,,1,0
8019,letter,"April 26, 1958",1,reused,true,,2,0
8023,letter,"April 17, 1958",1,reused,true,,2,0
8026,letter,"March 19, 1958",5,reused,true,,1,0
8027,letter,"March 19, 1958",2,repaired,true,,0,0
8028,letter,"March 13, 1958",1,confirmed_zero_operative_functions,true,,1,0
8031,letter,"March 03, 1958",1,confirmed_zero_operative_functions,true,,0,0
8033,letter,"February 17, 1958",1,reused,true,,1,0
8039,letter,"January 13, 1958",2,reused,true,,1,0
8049,letter,"November 01, 1957",1,reused,true,,1,0
8050,letter,"October 28, 1957",1,repaired,true,,0,0
8060,letter,"July 20, 1957",1,reused,true,,1,0
8063,letter,"July 15, 1957",3,reused,true,,1,0
8064,letter,"July 12, 1957",3,reused,true,,1,0
8068,letter,"May 29, 1957",1,confirmed_zero_operative_functions,true,,0,0
8069,letter,"May 15, 1957",1,reused,true,,1,0
8071,letter,"April 18, 1957",2,reused,true,,2,0
8074,letter,"March 02, 1957",1,reused,true,,1,0
8080,letter,"January 28, 1957",1,confirmed_zero_operative_functions,true,,1,0
8089,letter,"November 24, 1956",2,reused,true,,1,0
8095,letter,"October 29, 1956",2,reused,true,,1,0
8102,letter,"October 18, 1956",2,repaired,true,,1,6
8103,letter,"October 16, 1956",2,reused,true,,1,0
8113,letter,"July 17, 1956",3,repaired,true,,0,0
8114,letter,"July 10, 1956",1,reused,true,,1,0
8117,letter,"June 01, 1956",3,reused,true,,1,0
8118,letter,"May 21, 1956",2,reused,true,,1,0
8123,letter,"April 29, 1956",1,reused,true,,2,0
8127,letter,"April 03, 1956",1,repaired,true,,0,0
8134,letter,"March 21, 1956",1,repaired,true,,0,0
8140,letter,"February 11, 1956",2,reused,true,,1,0
8142,letter,"February 09, 1956",1,repaired,true,,0,0
8148,letter,"January 28, 1956",1,confirmed_zero_operative_functions,true,,1,0
8149,letter,"January 26, 1956",3,reused,true,,1,0
8152,letter,"January 18, 1956",1,reused,true,,1,0
8154,letter,"January 13, 1956",1,reused,true,,1,0
8155,letter,"January 13, 1956",1,repaired,true,,0,0
8167,letter,"October 18, 1955",1,reused,true,,1,0
8171,letter,"August 12, 1955",3,reused,true,,2,0
8173,letter,"August 04, 1955",1,reused,true,,2,0
8181,letter,"May 25, 1955",2,reused,true,,1,0
8184,letter,"April 17, 1955",4,reused,true,,2,0
8186,letter,"April 13, 1955",3,reused,true,,2,0
8189,letter,"March 05, 1955",1,reused,true,,1,0
8193,letter,"February 07, 1955",2,reused,true,,1,0
8194,letter,"February 07, 1955",1,reused,true,,1,0
8196,letter,"January 13, 1955",1,reused,true,,1,0
8198,letter,"January 05, 1955",2,reused,true,,1,0
8199,letter,"December 16, 1954",1,reused,true,,1,0
8200,letter,"December 11, 1954",2,reused,true,,1,0
8204,letter,"October 28, 1954",1,confirmed_zero_operative_functions,true,,1,0
8208,letter,"October 08, 1954",1,reused,true,,1,0
8213,letter,"September 09, 1954",2,reused,true,,1,0
8214,letter,"September 09, 1954",3,repaired,true,,0,0
8215,letter,"August 26, 1954",3,reused,true,,2,0
8218,letter,"August 11, 1954",2,reused,true,,2,0
8222,letter,"August 07, 1954",1,reused,true,,2,0
8224,letter,"August 07, 1954",1,confirmed_zero_operative_functions,true,,2,0
8227,letter,"July 12, 1954",4,reused,true,,1,0
8230,letter,"May 26, 1954",4,repaired,true,,0,0
8231,letter,"May 20, 1954",1,confirmed_zero_operative_functions,true,,1,0
8232,letter,"May 17, 1954",1,reused,true,,1,0
8237,letter,"March 16, 1954",1,reused,true,,1,0
8238,letter,"February 25, 1954",2,reused,true,,1,0
8243,letter,"January 12, 1954",1,reused,true,,1,0
8246,letter,"November 16, 1953",1,reused,true,,1,0
8249,letter,"October 26, 1953",3,reused,true,,1,0
8250,letter,"October 14, 1953",1,reused,true,,1,0
8251,letter,"October 05, 1953",2,reused,true,,1,0
8255,letter,"September 05, 1953",2,reused,true,,1,0
8257,letter,"August 24, 1953",1,reused,true,,2,0
8266,letter,"July 09, 1953",2,reused,true,,1,0
8269,letter,"June 07, 1953",2,reused,true,,1,0
8270,letter,"May 12, 1953",1,reused,true,,1,0
8271,letter,"May 12, 1953",3,reused,true,,1,0
8280,letter,"April 11, 1953",1,reused,true,,2,0
8281,letter,"March 06, 1953",1,repaired,true,,0,0
8289,letter,"January 16, 1953",1,confirmed_zero_operative_functions,true,,1,0
8297,letter,"January 12, 1953",1,reused,true,,1,0
8307,letter,"December 04, 1952",2,repaired,true,,0,0
8309,letter,"November 12, 1952",1,reused,true,,1,0
8314,letter,"September 08, 1952",4,reused,true,,1,0
8315,letter,"September 05, 1952",1,reused,true,,1,0
8318,letter,"August 13, 1952",4,repaired,true,,0,0
8319,letter,"August 13, 1952",3,reused,true,,2,0
8320,letter,"August 08, 1952",4,reused,true,,2,0
8323,letter,"July 13, 1952",4,reused,true,,1,0
8324,letter,"July 05, 1952",1,reused,true,,1,0
8325,letter,"July 01, 1952",2,reused,true,,1,0
8327,letter,"June 26, 1952",1,reused,true,,1,0
8328,letter,"June 26, 1952",1,reused,true,,1,0
8329,letter,"June 24, 1952",1,reused,true,,1,0
8332,letter,"June 20, 1952",1,repaired,true,,0,0
8333,letter,"June 13, 1952",1,confirmed_zero_operative_functions,true,,1,0
8338,letter,"May 29, 1952",1,repaired,true,,0,0
8342,letter,"May 02, 1952",1,reused,true,,1,0
8346,letter,"April 23, 1952",2,reused,true,,2,0
8353,letter,"March 30, 1952",3,reused,true,,1,0
8354,letter,"March 27, 1952",1,reused,true,,1,0
8355,letter,"March 24, 1952",1,repaired,true,,0,0
8359,letter,"February 29, 1952",1,reused,true,,1,0
8360,letter,"February 20, 1952",2,reused,true,,1,0
8362,letter,"February 05, 1952",3,repaired,true,,0,0
8363,letter,"February 05, 1952",1,reused,true,,1,0
8364,letter,"January 30, 1952",3,reused,true,,1,0
8365,letter,"January 26, 1952",1,reused,true,,1,0
8366,letter,"January 23, 1952",1,reused,true,,1,0
8371,letter,"November 07, 1951",1,reused,true,,1,0
8373,letter,"October 27, 1951",1,repaired,true,,0,0
8376,letter,"October 12, 1951",2,reused,true,,1,0
8380,letter,"September 04, 1951",2,reused,true,,1,0
8383,letter,"August 27, 1951",1,repaired,true,,0,0
8391,letter,"July 26, 1951",1,reused,true,,1,0
8393,letter,"July 19, 1951",1,reused,true,,1,0
8394,letter,"July 19, 1951",1,confirmed_zero_operative_functions,true,,1,0
8395,letter,"July 19, 1951",1,repaired,true,,0,0
8397,letter,"July 14, 1951",1,reused,true,,1,0
8404,letter,"June 16, 1951",1,reused,true,,1,0
8406,letter,"June 09, 1951",3,repaired,true,,0,0
8409,letter,"May 21, 1951",2,reused,true,,1,0
8410,letter,"May 12, 1951",1,reused,true,,1,0
8413,letter,"April 30, 1951",1,reused,true,,2,0
8414,letter,"April 20, 1951",4,reused,true,,2,0
8416,letter,"April 16, 1951",1,repaired,true,,0,0
8418,letter,"April 06, 1951",2,reused,true,,2,0
8421,letter,"March 14, 1951",1,reused,true,,1,0
8422,letter,"March 14, 1951",1,reused,true,,1,0
8423,letter,"March 11, 1951",3,reused,true,,1,0
8425,letter,"January 31, 1951",1,repaired,true,,0,0
8426,letter,"January 22, 1951",1,repaired,true,,0,0
8429,letter,"December 19, 1950",1,repaired,true,,0,0
8430,letter,"December 18, 1950",1,reused,true,,1,0
8434,letter,"November 24, 1950",1,reused,true,,1,0
8435,letter,"November 24, 1950",3,reused,true,,1,0
8439,letter,"October 11, 1950",6,reused,true,,1,0
8443,letter,"September 13, 1950",1,reused,true,,1,0
8444,letter,"September 12, 1950",1,confirmed_zero_operative_functions,true,,1,0
8447,letter,"August 31, 1950",1,reused,true,,2,0
8458,letter,"July 25, 1950",1,reused,true,,1,0
8459,letter,"July 21, 1950",3,repaired,true,,0,0
8460,letter,"July 18, 1950",6,reused,true,,1,0
8462,letter,"May 22, 1950",1,repaired,true,,0,0
8468,letter,"April 03, 1950",1,reused,true,,2,0
8472,letter,"March 07, 1950",1,reused,true,,1,0
8473,letter,"March 02, 1950",1,repaired,true,,0,0
8474,letter,"February 22, 1950",1,reused,true,,1,0
8475,letter,"February 17, 1950",3,repaired,true,,0,0
8476,letter,"February 11, 1950",2,reused,true,,1,0
8477,letter,"February 09, 1950",2,confirmed_zero_operative_functions,true,,1,0
8478,letter,"February 01, 1950",1,repaired,true,,0,0
8481,letter,"January 27, 1950",1,confirmed_zero_operative_functions,true,,1,0
8483,letter,"January 03, 1950",3,reused,true,,1,0
8490,letter,"September 21, 1949",3,reused,true,,1,0
8491,letter,"September 10, 1949",1,reused,true,,1,0
8493,letter,"August 22, 1949",1,repaired,true,,0,0
8494,letter,"August 12, 1949",1,reused,true,,2,0
8495,letter,"August 11, 1949",1,confirmed_zero_operative_functions,true,,2,0
8497,letter,"July 13, 1949",4,repaired,true,,0,0
8498,letter,"July 12, 1949",2,reused,true,,1,0
8501,letter,"July 02, 1949",4,repaired,true,,1,3
8502,letter,"June 30, 1949",3,reused,true,,1,0
8506,letter,"May 18, 1949",1,reused,true,,1,0
8507,letter,"May 17, 1949",1,reused,true,,1,0
8514,letter,"January 06, 1949",2,reused,true,,1,0
8525,letter,"August 20, 1948",2,reused,true,,2,0
8528,letter,"July 01, 1948",2,reused,true,,1,0
8529,letter,"June 03, 1948",1,reused,true,,1,0
8530,letter,"June 01, 1948",3,reused,true,,1,0
8537,letter,"April 16, 1948",2,reused,true,,2,0
8540,letter,"April 03, 1948",1,reused,true,,2,0
8547,letter,"March 02, 1948",1,reused,true,,1,0
8550,letter,"January 27, 1948",1,reused,true,,1,0
8553,memorandum,"March 11, 2026",2,repaired,true,,0,0
8554,memorandum,"February 13, 2026",2,reused,true,,1,0
8555,memorandum,"January 14, 2026",1,reused,true,,1,0
8556,memorandum,"January 13, 2026",1,reused,true,,1,0
8557,memorandum,"January 07, 2026",3,reused,true,,1,0
8558,memorandum,"December 26, 2025",1,repaired,true,,0,0
8559,memorandum,"December 19, 2025",3,reused,true,,1,0
8560,memorandum,"December 16, 2025",4,reused,true,,1,0
8561,memorandum,"December 05, 2025",1,reused,true,,1,0
8562,memorandum,"November 21, 2025",8,reused,true,,1,0
8563,memorandum,"November 20, 2025",1,repaired,true,,0,0
8565,memorandum,"October 15, 2025",1,reused,true,,1,0
8566,memorandum,"October 08, 2025",3,reused,true,,1,0
8567,memorandum,"October 04, 2025",6,reused,true,,1,0
8568,memorandum,"September 30, 2025",3,reused,true,,1,0
8570,memorandum,"September 25, 2025",9,repaired,true,,0,0
8571,memorandum,"September 25, 2025",1,repaired,true,,0,0
8572,memorandum,"September 15, 2025",5,reused,true,,1,0
8573,memorandum,"September 09, 2025",1,reused,true,,1,0
8574,memorandum,"September 08, 2025",1,repaired,true,,1,6
8575,memorandum,"August 29, 2025",1,reused,true,,1,0
8576,memorandum,"August 28, 2025",3,reused,true,,1,0
8577,memorandum,"August 11, 2025",3,reused,true,,1,0
8578,memorandum,"August 08, 2025",1,reused,true,,1,0
8579,memorandum,"August 08, 2025",2,reused,true,,1,0
8580,memorandum,"August 07, 2025",3,reused,true,,2,0
8582,memorandum,"August 04, 2025",2,reused,true,,2,0
8583,memorandum,"August 04, 2025",2,reused,true,,2,0
8584,memorandum,"July 15, 2025",1,repaired,true,,0,0
8585,memorandum,"July 07, 2025",1,repaired,true,,1,6
8586,memorandum,"June 30, 2025",3,reused,true,,1,0
8587,memorandum,"June 30, 2025",4,reused,true,,1,0
8588,memorandum,"June 12, 2025",7,repaired,true,,0,0
8589,memorandum,"June 07, 2025",3,reused,true,,1,0
8592,memorandum,"May 23, 2025",2,reused,true,,1,0
8593,memorandum,"May 23, 2025",2,reused,true,,1,0
8595,memorandum,"May 09, 2025",2,reused,true,,1,0
8596,memorandum,"May 09, 2025",4,reused,true,,1,0
8597,memorandum,"April 24, 2025",1,reused,true,,2,0
8598,memorandum,"April 17, 2025",1,repaired,true,,2,18
8599,memorandum,"April 15, 2025",5,reused,true,,2,0
8600,memorandum,"April 15, 2025",4,reused,true,,2,0
8602,memorandum,"April 11, 2025",1,repaired,true,,2,20
8603,memorandum,"April 09, 2025",2,repaired,true,,0,0
8604,memorandum,"April 09, 2025",4,reused,true,,2,0
8605,memorandum,"April 09, 2025",3,reused,true,,2,0
8606,memorandum,"April 07, 2025",2,reused,true,,2,0
8607,memorandum,"March 25, 2025",2,reused,true,,1,0
8608,memorandum,"March 21, 2025",3,reused,true,,1,0
8609,memorandum,"March 21, 2025",3,repaired,true,,0,0
8610,memorandum,"March 20, 2025",1,repaired,true,,0,0
8611,memorandum,"March 18, 2025",1,reused,true,,1,0
8612,memorandum,"March 14, 2025",1,reused,true,,1,0
8614,memorandum,"February 25, 2025",3,reused,true,,1,0
8615,memorandum,"February 21, 2025",6,repaired,true,,0,0
8616,memorandum,"February 21, 2025",3,reused,true,,1,0
8617,memorandum,"February 18, 2025",2,reused,true,,1,0
8618,memorandum,"February 13, 2025",4,repaired,true,,0,0
8619,memorandum,"February 06, 2025",1,reused,true,,1,0
8620,memorandum,"February 04, 2025",1,reused,true,,1,0
8621,memorandum,"January 31, 2025",2,reused,true,,1,0
8622,memorandum,"January 30, 2025",2,reused,true,,1,0
8623,memorandum,"January 29, 2025",1,reused,true,,1,0
8624,memorandum,"January 27, 2025",1,repaired,true,,0,0
8625,memorandum,"January 24, 2025",2,reused,true,,1,0
8626,memorandum,"January 23, 2025",2,repaired,true,,0,0
8627,memorandum,"January 21, 2025",2,repaired,true,,0,0
8629,memorandum,"January 20, 2025",1,reused,true,,1,0
8630,memorandum,"January 20, 2025",16,repaired,true,,0,0
8631,memorandum,"January 20, 2025",2,reused,true,,1,0
8632,memorandum,"January 20, 2025",1,repaired,true,,0,0
8633,memorandum,"January 20, 2025",2,reused,true,,1,0
8634,memorandum,"January 20, 2025",3,reused,true,,1,0
8635,memorandum,"January 20, 2025",2,reused,true,,1,0
8636,memorandum,"January 20, 2025",3,reused,true,,1,0
8637,memorandum,"January 20, 2025",3,reused,true,,1,0
8638,memorandum,"January 20, 2025",2,reused,true,,1,0
8639,memorandum,"January 20, 2025",1,repaired,true,,1,3
8640,memorandum,"January 20, 2025",33,reused,true,,1,0
8641,memorandum,"January 17, 2025",1,repaired,true,,0,0
8642,memorandum,"January 17, 2025",7,reused,true,,1,0
8643,memorandum,"January 17, 2025",4,reused,true,,1,0
8644,memorandum,"January 16, 2025",7,reused,true,,1,0
8645,memorandum,"January 15, 2025",2,reused,true,,1,0
8647,memorandum,"January 14, 2025",1,reused,true,,1,0
8648,memorandum,"January 14, 2025",2,reused,true,,1,0
8649,memorandum,"January 10, 2025",2,reused,true,,1,0
8650,memorandum,"January 08, 2025",1,reused,true,,1,0
8651,memorandum,"January 06, 2025",2,repaired,true,,0,0
8652,memorandum,"January 06, 2025",2,repaired,true,,0,0
8653,memorandum,"January 03, 2025",2,reused,true,,1,0
8654,memorandum,"January 03, 2025",2,repaired,true,,0,0
8655,memorandum,"January 03, 2025",2,reused,true,,1,0
8656,memorandum,"January 03, 2025",2,reused,true,,1,0
8657,memorandum,"January 03, 2025",2,reused,true,,1,0
8658,memorandum,"January 03, 2025",1,reused,true,,1,0
8659,memorandum,"December 20, 2024",1,reused,true,,1,0
8660,memorandum,"December 12, 2024",4,reused,true,,1,0
8661,memorandum,"December 12, 2024",5,repaired,true,,1,3
8662,memorandum,"December 11, 2024",4,reused,true,,1,0
8663,memorandum,"December 02, 2024",1,reused,true,,1,0
8664,memorandum,"November 20, 2024",1,reused,true,,1,0
8665,memorandum,"November 15, 2024",1,repaired,true,,0,0
8667,memorandum,"November 01, 2024",1,reused,true,,1,0
8668,memorandum,"October 24, 2024",24,reused,true,,1,0
8669,memorandum,"October 21, 2024",1,reused,true,,1,0
8670,memorandum,"October 16, 2024",1,reused,true,,1,0
8671,memorandum,"September 30, 2024",2,reused,true,,1,0
8672,memorandum,"September 30, 2024",10,reused,true,,1,0
8673,memorandum,"September 30, 2024",2,repaired,true,,1,3
8674,memorandum,"September 29, 2024",1,repaired,true,,1,3
