document_id,profile_rows,reason
3147,1,no_current_operative_provision
3152,1,no_current_operative_provision
3157,1,no_current_operative_provision
3161,1,no_current_operative_provision
3169,1,no_current_operative_provision
3176,1,no_current_operative_provision
3178,2,no_current_operative_provision
3188,1,no_current_operative_provision
3206,2,no_current_operative_provision
3212,1,no_current_operative_provision
3230,1,no_current_operative_provision
3231,1,no_current_operative_provision
3236,1,no_current_operative_provision
3256,2,no_current_operative_provision
3261,1,no_current_operative_provision
3269,1,no_current_operative_provision
3281,1,no_current_operative_provision
3286,1,no_current_operative_provision
3291,1,no_current_operative_provision
3295,1,no_current_operative_provision
3351,1,no_current_operative_provision
3353,1,no_current_operative_provision
3358,1,no_current_operative_provision
3377,1,no_current_operative_provision
3381,2,no_current_operative_provision
3382,1,no_current_operative_provision
3391,1,no_current_operative_provision
3394,1,no_current_operative_provision
3444,1,no_current_operative_provision
3447,1,no_current_operative_provision
3452,1,no_current_operative_provision
3469,1,no_current_operative_provision
3477,1,no_current_operative_provision
3487,2,no_current_operative_provision
3494,1,no_current_operative_provision
3500,1,no_current_operative_provision
3538,1,no_current_operative_provision
3561,1,no_current_operative_provision
3567,1,no_current_operative_provision
3582,1,no_current_operative_provision
3585,1,no_current_operative_provision
3588,1,no_current_operative_provision
3607,2,no_current_operative_provision
3617,1,no_current_operative_provision
3630,1,no_current_operative_provision
3632,1,no_current_operative_provision
3637,1,no_current_operative_provision
3638,1,no_current_operative_provision
3641,1,no_current_operative_provision
3644,1,no_current_operative_provision
3653,1,no_current_operative_provision
3661,1,no_current_operative_provision
3665,1,no_current_operative_provision
3667,1,no_current_operative_provision
3669,1,no_current_operative_provision
3672,1,no_current_operative_provision
3688,1,no_current_operative_provision
3695,1,no_current_operative_provision
3704,1,no_current_operative_provision
3731,1,no_current_operative_provision
3735,1,no_current_operative_provision
3737,1,no_current_operative_provision
3738,1,no_current_operative_provision
3739,1,no_current_operative_provision
3740,1,no_current_operative_provision
3768,1,no_current_operative_provision
3776,1,no_current_operative_provision
3779,1,no_current_operative_provision
3780,1,no_current_operative_provision
3789,2,no_current_operative_provision
3807,1,no_current_operative_provision
3810,1,no_current_operative_provision
3821,1,no_current_operative_provision
3823,1,no_current_operative_provision
3825,1,no_current_operative_provision
3836,1,no_current_operative_provision
3851,1,no_current_operative_provision
3853,1,no_current_operative_provision
3854,1,no_current_operative_provision
3855,1,no_current_operative_provision
3863,1,no_current_operative_provision
3868,2,no_current_operative_provision
3870,1,no_current_operative_provision
3881,1,no_current_operative_provision
3890,1,no_current_operative_provision
3894,1,no_current_operative_provision
3903,1,no_current_operative_provision
3910,1,no_current_operative_provision
3920,2,no_current_operative_provision
3941,2,no_current_operative_provision
3956,1,no_current_operative_provision
3976,2,no_current_operative_provision
3983,1,no_current_operative_provision
3998,1,no_current_operative_provision
4005,1,no_current_operative_provision
4013,1,no_current_operative_provision
4026,1,no_current_operative_provision
4034,1,no_current_operative_provision
4035,1,no_current_operative_provision
4036,1,no_current_operative_provision
4042,1,no_current_operative_provision
4044,2,no_current_operative_provision
4055,1,no_current_operative_provision
4060,1,no_current_operative_provision
4061,1,no_current_operative_provision
4066,1,no_current_operative_provision
4067,1,no_current_operative_provision
4076,1,no_current_operative_provision
4083,1,no_current_operative_provision
4087,2,no_current_operative_provision
4091,1,no_current_operative_provision
4108,1,no_current_operative_provision
4110,1,no_current_operative_provision
4112,1,no_current_operative_provision
4131,1,no_current_operative_provision
4138,1,no_current_operative_provision
4143,2,no_current_operative_provision
4150,1,no_current_operative_provision
4156,1,no_current_operative_provision
4167,1,no_current_operative_provision
4168,1,no_current_operative_provision
4171,1,no_current_operative_provision
4175,1,no_current_operative_provision
4176,1,no_current_operative_provision
4177,1,no_current_operative_provision
4182,1,no_current_operative_provision
4185,1,no_current_operative_provision
4187,2,no_current_operative_provision
4200,1,no_current_operative_provision
4204,1,no_current_operative_provision
4206,1,no_current_operative_provision
4211,1,no_current_operative_provision
4212,1,no_current_operative_provision
4214,1,no_current_operative_provision
4224,1,no_current_operative_provision
4225,1,no_current_operative_provision
4227,1,no_current_operative_provision
4235,1,no_current_operative_provision
4236,1,no_current_operative_provision
4239,1,no_current_operative_provision
4241,1,no_current_operative_provision
4242,1,no_current_operative_provision
4246,1,no_current_operative_provision
4249,1,no_current_operative_provision
4251,1,no_current_operative_provision
4261,1,no_current_operative_provision
4265,2,no_current_operative_provision
4274,2,no_current_operative_provision
4275,1,no_current_operative_provision
4277,1,no_current_operative_provision
4279,1,no_current_operative_provision
4286,1,no_current_operative_provision
4287,1,no_current_operative_provision
4296,1,no_current_operative_provision
4297,1,no_current_operative_provision
4316,1,no_current_operative_provision
4319,1,no_current_operative_provision
4323,1,no_current_operative_provision
4329,1,no_current_operative_provision
4333,1,no_current_operative_provision
4336,1,no_current_operative_provision
4338,1,no_current_operative_provision
4340,1,no_current_operative_provision
4345,1,no_current_operative_provision
4350,1,no_current_operative_provision
4353,1,no_current_operative_provision
4355,1,no_current_operative_provision
4357,1,no_current_operative_provision
4368,1,no_current_operative_provision
4369,1,no_current_operative_provision
4378,1,no_current_operative_provision
4381,1,no_current_operative_provision
4388,1,no_current_operative_provision
4389,1,no_current_operative_provision
4395,1,no_current_operative_provision
4398,1,no_current_operative_provision
4399,1,no_current_operative_provision
4401,1,no_current_operative_provision
4403,1,no_current_operative_provision
4404,1,no_current_operative_provision
4406,1,no_current_operative_provision
4407,1,no_current_operative_provision
4428,1,no_current_operative_provision
4439,1,no_current_operative_provision
4440,1,no_current_operative_provision
4442,1,no_current_operative_provision
4449,1,no_current_operative_provision
4457,1,no_current_operative_provision
4474,1,no_current_operative_provision
4476,1,no_current_operative_provision
4482,1,no_current_operative_provision
4501,1,no_current_operative_provision
5167,1,no_current_operative_provision
5247,1,no_current_operative_provision
5409,1,no_current_operative_provision
5579,1,no_current_operative_provision
5950,1,no_current_operative_provision
6019,1,no_current_operative_provision
6174,1,no_current_operative_provision
6455,1,no_current_operative_provision
6515,1,no_current_operative_provision
6516,1,no_current_operative_provision
8564,1,no_current_operative_provision
8569,1,no_current_operative_provision
8581,2,no_current_operative_provision
8591,1,no_current_operative_provision
8594,1,no_current_operative_provision
8666,1,no_current_operative_provision
8684,1,no_current_operative_provision
8709,1,no_current_operative_provision
8726,1,no_current_operative_provision
8735,1,no_current_operative_provision
8747,1,no_current_operative_provision
8767,1,no_current_operative_provision
8791,1,no_current_operative_provision
8802,1,no_current_operative_provision
8828,1,no_current_operative_provision
