candidate_rank,score_channel,unit,total_children,candidate_count,children_without_candidate,score_count,score_missing_count,zero_count,zero_share,mean,std_dev,min,p01,p05,p25,p50,p75,p95,p99,max
1,operative_embedding,similarity,7015,7011,4,7011,0,0,0.0,0.6545307046526969,0.13560205194962258,0.28807467222213745,0.41321867853403094,0.46500692516565323,0.5384130924940109,0.6348599791526794,0.7751695215702057,0.8733717501163483,0.9004212737083434,0.9217556715011597
1,trigram_tfidf,similarity,7015,7011,4,7011,0,192,0.02738553701326487,0.30607733482267635,0.3162467478865672,0.0,0.0,0.004457023800021328,0.03161597613804863,0.16807177905522339,0.5455669213978279,0.9481836726052879,1.0000000000000002,1.0000000000000018
1,text_reuse,reused words,7015,7011,4,7011,0,2797,0.3989445157609471,28.902034897541956,66.17652909686542,0.0,0.0,0.0,0.0,10.666666666666666,35.0,104.66666666666666,251.6999999999989,1175.0
2,operative_embedding,similarity,7015,7007,8,7007,0,0,0.0,0.6232568426603969,0.13361954005615623,0.2569786310195923,0.39386546075344087,0.44669252187013625,0.5156752020120621,0.5923158228397369,0.7297673970460892,0.8617654621601104,0.8903366327285767,0.9216834306716919
2,trigram_tfidf,similarity,7015,7007,8,7007,0,338,0.04823747680890538,0.236775332989213,0.28594730302193005,0.0,0.0,0.0007742228658017034,0.018706469482286322,0.08701807327189764,0.40554225868795446,0.8724476824995986,1.0,1.0000000000000009
2,text_reuse,reused words,7015,7007,8,7007,0,3446,0.4917939203653489,20.071666428809284,48.54647957368852,0.0,0.0,0.0,0.0,3.3333333333333335,25.0,82.5666666666666,156.66666666666666,939.0
