url,extracted_vesting_clause,directive_type,year,administration
https://www.presidency.ucsb.edu/documents/proclamation-8624-martin-luther-king-jr-federal-holiday-2011,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2011,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8616-human-rights-day-bill-rights-day-and-human-rights-week-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8609-world-aids-day-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States || On World AIDS Day, we mourn those we have lost and look to the promise of a brighter future and a world without HIV/AIDS. Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8606-thanksgiving-day-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8599-world-freedom-day-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8590-military-family-month-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8585-italian-american-heritage-and-culture-month-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8554-national-childhood-obesity-awareness-month-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8521-world-trade-week-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8516-national-womens-health-week-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8503-earth-day-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8495-pan-american-day-and-pan-american-week-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8496-national-former-prisoner-war-recognition-day-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8494-national-dare-day-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8470-national-mentoring-month-2010,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2010,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8447-national-diabetes-month-2009,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8441-united-nations-day-2009,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8416-fifteenth-anniversary-the-violence-against-women-act,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8412-national-preparedness-month-2009,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8407-national-ovarian-cancer-awareness-month-2009,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8408-national-prostate-cancer-awareness-month-2009,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8373-world-trade-week-2009,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2009,Barack Obama (First)
https://www.presidency.ucsb.edu/documents/proclamation-8370-national-physical-fitness-and-sports-month-2009,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, Barack Obama, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2009,Barack Obama (First)
